basomrade,year,cumulative_immigration_surplus,gender
1010120_skeppsbron,2000,4,both
1010120_skeppsbron,2001,9,both
1010120_skeppsbron,2002,27,both
1010120_skeppsbron,2003,5,both
1010120_skeppsbron,2004,18,both
1010120_skeppsbron,2005,14,both
1010120_skeppsbron,2006,20,both
1010120_skeppsbron,2007,41,both
1010120_skeppsbron,2008,40,both
1010120_skeppsbron,2009,26,both
1010120_skeppsbron,2010,38,both
1010120_skeppsbron,2011,36,both
1010120_skeppsbron,2012,28,both
1010120_skeppsbron,2013,23,both
1010120_skeppsbron,2014,45,both
1010130_munkbron,2000,11,both
1010130_munkbron,2001,41,both
1010130_munkbron,2002,3,both
1010130_munkbron,2003,-20,both
1010130_munkbron,2004,-42,both
1010130_munkbron,2005,-37,both
1010130_munkbron,2006,-29,both
1010130_munkbron,2007,-28,both
1010130_munkbron,2008,-53,both
1010130_munkbron,2009,-33,both
1010130_munkbron,2010,-33,both
1010130_munkbron,2011,-16,both
1010130_munkbron,2012,5,both
1010130_munkbron,2013,-3,both
1010130_munkbron,2014,5,both
1010140_stortorget,2000,-4,both
1010140_stortorget,2001,-13,both
1010140_stortorget,2002,-23,both
1010140_stortorget,2003,-1,both
1010140_stortorget,2004,-7,both
1010140_stortorget,2005,-2,both
1010140_stortorget,2006,-5,both
1010140_stortorget,2007,-35,both
1010140_stortorget,2008,-32,both
1010140_stortorget,2009,-24,both
1010140_stortorget,2010,-34,both
1010140_stortorget,2011,-64,both
1010140_stortorget,2012,-58,both
1010140_stortorget,2013,-36,both
1010140_stortorget,2014,-47,both
1010201_centralstationen_n,2000,0,both
1010201_centralstationen_n,2001,-17,both
1010201_centralstationen_n,2002,-32,both
1010201_centralstationen_n,2003,-41,both
1010201_centralstationen_n,2004,-42,both
1010201_centralstationen_n,2005,-47,both
1010201_centralstationen_n,2006,-66,both
1010201_centralstationen_n,2007,-70,both
1010201_centralstationen_n,2008,-92,both
1010201_centralstationen_n,2009,-107,both
1010201_centralstationen_n,2010,-121,both
1010201_centralstationen_n,2011,-133,both
1010201_centralstationen_n,2012,-138,both
1010201_centralstationen_n,2013,-154,both
1010201_centralstationen_n,2014,-172,both
1010220_klara_kyrka,2000,6,both
1010220_klara_kyrka,2001,2,both
1010220_klara_kyrka,2002,59,both
1010220_klara_kyrka,2003,71,both
1010220_klara_kyrka,2004,71,both
1010220_klara_kyrka,2005,64,both
1010220_klara_kyrka,2006,64,both
1010220_klara_kyrka,2007,62,both
1010220_klara_kyrka,2008,66,both
1010220_klara_kyrka,2009,73,both
1010220_klara_kyrka,2010,71,both
1010220_klara_kyrka,2011,49,both
1010220_klara_kyrka,2012,55,both
1010220_klara_kyrka,2013,49,both
1010220_klara_kyrka,2014,41,both
1010230_centralposten,2000,-11,both
1010230_centralposten,2001,-14,both
1010230_centralposten,2002,-8,both
1010230_centralposten,2003,91,both
1010230_centralposten,2004,94,both
1010230_centralposten,2005,91,both
1010230_centralposten,2006,90,both
1010230_centralposten,2007,88,both
1010230_centralposten,2008,91,both
1010230_centralposten,2009,103,both
1010230_centralposten,2010,105,both
1010230_centralposten,2011,103,both
1010230_centralposten,2012,119,both
1010230_centralposten,2013,124,both
1010230_centralposten,2014,116,both
1010240_oscarsteatern,2000,1,both
1010240_oscarsteatern,2001,-21,both
1010240_oscarsteatern,2002,-16,both
1010240_oscarsteatern,2003,-26,both
1010240_oscarsteatern,2004,-32,both
1010240_oscarsteatern,2005,-40,both
1010240_oscarsteatern,2006,-56,both
1010240_oscarsteatern,2007,-74,both
