basomrade,year,employment_rate_aged_20_64,gender
4111110_norra_runby,2000,0.8357399999999999,male
4111110_norra_runby,2001,0.8206,male
4111110_norra_runby,2002,0.8204799999999999,male
4111110_norra_runby,2003,0.81102,male
4111110_norra_runby,2004,0.8156100000000001,male
4111110_norra_runby,2005,0.79907,male
4111110_norra_runby,2006,0.77156,male
4111110_norra_runby,2007,0.80523,male
4111110_norra_runby,2008,0.8125,male
4111110_norra_runby,2009,0.8004600000000001,male
4111110_norra_runby,2010,0.79473,male
4111110_norra_runby,2011,0.8135600000000001,male
4111110_norra_runby,2012,0.8363299999999999,male
4111110_norra_runby,2013,0.8285100000000001,male
4111110_norra_runby,2014,0.8106800000000001,male
4111120_sodra_runby,2000,0.8991600000000001,male
4111120_sodra_runby,2001,0.87931,male
4111120_sodra_runby,2002,0.8879299999999999,male
4111120_sodra_runby,2003,0.89655,male
4111120_sodra_runby,2004,0.90435,male
4111120_sodra_runby,2005,0.92105,male
4111120_sodra_runby,2006,0.9009,male
4111120_sodra_runby,2007,0.90741,male
4111120_sodra_runby,2008,0.8909100000000001,male
4111120_sodra_runby,2009,0.85321,male
4111120_sodra_runby,2010,0.82883,male
4111120_sodra_runby,2011,0.87179,male
4111120_sodra_runby,2012,0.87069,male
4111120_sodra_runby,2013,0.8828799999999999,male
4111120_sodra_runby,2014,0.86555,male
4111130_runby_lovsta,2000,0.83514,male
4111130_runby_lovsta,2001,0.84324,male
4111130_runby_lovsta,2002,0.8402200000000001,male
4111130_runby_lovsta,2003,0.81197,male
4111130_runby_lovsta,2004,0.80712,male
4111130_runby_lovsta,2005,0.79228,male
4111130_runby_lovsta,2006,0.78235,male
4111130_runby_lovsta,2007,0.81586,male
4111130_runby_lovsta,2008,0.83735,male
4111130_runby_lovsta,2009,0.81105,male
4111130_runby_lovsta,2010,0.81471,male
4111130_runby_lovsta,2011,0.84483,male
4111130_runby_lovsta,2012,0.8209,male
4111130_runby_lovsta,2013,0.8328399999999999,male
4111130_runby_lovsta,2014,0.83626,male
4111140_prastgardsmarken,2000,0.8277200000000001,male
4111140_prastgardsmarken,2001,0.8433,male
4111140_prastgardsmarken,2002,0.83195,male
4111140_prastgardsmarken,2003,0.81395,male
4111140_prastgardsmarken,2004,0.82549,male
4111140_prastgardsmarken,2005,0.7862899999999999,male
4111140_prastgardsmarken,2006,0.81466,male
4111140_prastgardsmarken,2007,0.8395100000000001,male
4111140_prastgardsmarken,2008,0.83673,male
4111140_prastgardsmarken,2009,0.79046,male
4111140_prastgardsmarken,2010,0.82636,male
4111140_prastgardsmarken,2011,0.83368,male
4111140_prastgardsmarken,2012,0.82485,male
4111140_prastgardsmarken,2013,0.8267200000000001,male
4111140_prastgardsmarken,2014,0.8383,male
4111900_eds_glesbygd,2000,0.8333299999999999,male
4111900_eds_glesbygd,2001,0.85235,male
4111900_eds_glesbygd,2002,0.81081,male
4111900_eds_glesbygd,2003,0.81944,male
4111900_eds_glesbygd,2004,0.8251700000000001,male
4111900_eds_glesbygd,2005,0.79433,male
4111900_eds_glesbygd,2006,0.78788,male
4111900_eds_glesbygd,2007,0.79259,male
4111900_eds_glesbygd,2008,0.81752,male
4111900_eds_glesbygd,2009,0.81818,male
4111900_eds_glesbygd,2010,0.79167,male
4111900_eds_glesbygd,2011,0.8310799999999999,male
4111900_eds_glesbygd,2012,0.82014,male
4111900_eds_glesbygd,2013,0.8297899999999999,male
4111900_eds_glesbygd,2014,0.88489,male
4122100_lowenstromska_sjukhuset,2000,0.75,male
4122100_lowenstromska_sjukhuset,2001,0.75362,male
4122100_lowenstromska_sjukhuset,2002,0.76555,male
4122100_lowenstromska_sjukhuset,2003,0.7330300000000001,male
4122100_lowenstromska_sjukhuset,2004,0.69811,male
4122100_lowenstromska_sjukhuset,2005,0.695,male
4122100_lowenstromska_sjukhuset,2006,0.71635,male
4122100_lowenstromska_sjukhuset,2007,0.69484,male
4122100_lowenstromska_sjukhuset,2008,0.71946,male
4122100_lowenstromska_sjukhuset,2009,0.7235,male
4122100_lowenstromska_sjukhuset,2010,0.69907,male
4122100_lowenstromska_sjukhuset,2011,0.7416699999999999,male
4122100_lowenstromska_sjukhuset,2012,0.7319100000000001,male
4122100_lowenstromska_sjukhuset,2013,0.71983,male
4122100_lowenstromska_sjukhuset,2014,0.6988,male
4122210_norra_vilunda,2000,0.86944,male
4122210_norra_vilunda,2001,0.84478,male
4122210_norra_vilunda,2002,0.8711700000000001,male
4122210_norra_vilunda,2003,0.86774,male
4122210_norra_vilunda,2004,0.8529399999999999,male
4122210_norra_vilunda,2005,0.8543700000000001,male
4122210_norra_vilunda,2006,0.88065,male
4122210_norra_vilunda,2007,0.8713799999999999,male
4122210_norra_vilunda,2008,0.8495,male
4122210_norra_vilunda,2009,0.8557,male
4122210_norra_vilunda,2010,0.86093,male
4122210_norra_vilunda,2011,0.86039,male
4122210_norra_vilunda,2012,0.87584,male
4122210_norra_vilunda,2013,0.8528399999999999,male
4122210_norra_vilunda,2014,0.8551200000000001,male
4122230_apoteksskogen,2000,0.7704,male
4122230_apoteksskogen,2001,0.7734300000000001,male
4122230_apoteksskogen,2002,0.7507,male
4122230_apoteksskogen,2003,0.7350800000000001,male
4122230_apoteksskogen,2004,0.7369899999999999,male
4122230_apoteksskogen,2005,0.7336199999999999,male
4122230_apoteksskogen,2006,0.74326,male
4122230_apoteksskogen,2007,0.7753399999999999,male
4122230_apoteksskogen,2008,0.79498,male
4122230_apoteksskogen,2009,0.72011,male
4122230_apoteksskogen,2010,0.73517,male
4122230_apoteksskogen,2011,0.72739,male
4122230_apoteksskogen,2012,0.7410800000000001,male
4122230_apoteksskogen,2013,0.7610600000000001,male
4122230_apoteksskogen,2014,0.74939,male
4122240_vasbyskogen,2000,0.73777,male
4122240_vasbyskogen,2001,0.76217,male
4122240_vasbyskogen,2002,0.7106,male
4122240_vasbyskogen,2003,0.70043,male
4122240_vasbyskogen,2004,0.68997,male
4122240_vasbyskogen,2005,0.68615,male
4122240_vasbyskogen,2006,0.69844,male
4122240_vasbyskogen,2007,0.73752,male
4122240_vasbyskogen,2008,0.70323,male
4122240_vasbyskogen,2009,0.66825,male
4122240_vasbyskogen,2010,0.70348,male
4122240_vasbyskogen,2011,0.67933,male
4122240_vasbyskogen,2012,0.6997,male
4122240_vasbyskogen,2013,0.6934100000000001,male
4122240_vasbyskogen,2014,0.67489,male
4122310_korpkulla,2000,0.79637,male
4122310_korpkulla,2001,0.80096,male
4122310_korpkulla,2002,0.7952199999999999,male
4122310_korpkulla,2003,0.77684,male
4122310_korpkulla,2004,0.7948,male
4122310_korpkulla,2005,0.78598,male
4122310_korpkulla,2006,0.80129,male
4122310_korpkulla,2007,0.81985,male
4122310_korpkulla,2008,0.8295799999999999,male
4122310_korpkulla,2009,0.81028,male
4122310_korpkulla,2010,0.8063100000000001,male
4122310_korpkulla,2011,0.81897,male
4122310_korpkulla,2012,0.82491,male
4122310_korpkulla,2013,0.81918,male
4122310_korpkulla,2014,0.8147800000000001,male
4122340_vilunda,2000,0.66723,male
4122340_vilunda,2001,0.65709,male
4122340_vilunda,2002,0.62857,male
4122340_vilunda,2003,0.61844,male
4122340_vilunda,2004,0.60727,male
4122340_vilunda,2005,0.56766,male
4122340_vilunda,2006,0.5804600000000001,male
4122340_vilunda,2007,0.61351,male
4122340_vilunda,2008,0.61598,male
4122340_vilunda,2009,0.60816,male
4122340_vilunda,2010,0.62525,male
4122340_vilunda,2011,0.64008,male
4122340_vilunda,2012,0.6414300000000001,male
4122340_vilunda,2013,0.6759999999999999,male
4122340_vilunda,2014,0.65618,male
4122420_norra_smedby,2000,0.8052699999999999,male
4122420_norra_smedby,2001,0.78987,male
4122420_norra_smedby,2002,0.77487,male
4122420_norra_smedby,2003,0.7602,male
4122420_norra_smedby,2004,0.7471899999999999,male
4122420_norra_smedby,2005,0.72227,male
4122420_norra_smedby,2006,0.73232,male
4122420_norra_smedby,2007,0.77074,male
4122420_norra_smedby,2008,0.75265,male
4122420_norra_smedby,2009,0.71802,male
4122420_norra_smedby,2010,0.73488,male
4122420_norra_smedby,2011,0.73973,male
4122420_norra_smedby,2012,0.7563,male
4122420_norra_smedby,2013,0.75164,male
4122420_norra_smedby,2014,0.76194,male
4122430_sodra_smedby,2000,0.875,male
4122430_sodra_smedby,2001,0.8136399999999999,male
4122430_sodra_smedby,2002,0.84,male
4122430_sodra_smedby,2003,0.8341,male
4122430_sodra_smedby,2004,0.84141,male
4122430_sodra_smedby,2005,0.81735,male
4122430_sodra_smedby,2006,0.82063,male
4122430_sodra_smedby,2007,0.8333299999999999,male
4122430_sodra_smedby,2008,0.8348200000000001,male
4122430_sodra_smedby,2009,0.78947,male
4122430_sodra_smedby,2010,0.82883,male
4122430_sodra_smedby,2011,0.84188,male
4122430_sodra_smedby,2012,0.84615,male
4122430_sodra_smedby,2013,0.8433200000000001,male
4122430_sodra_smedby,2014,0.84685,male
4122520_skalby,2000,0.8486600000000001,male
4122520_skalby,2001,0.8597600000000001,male
4122520_skalby,2002,0.85987,male
4122520_skalby,2003,0.8543700000000001,male
4122520_skalby,2004,0.8422799999999999,male
4122520_skalby,2005,0.84429,male
4122520_skalby,2006,0.8472200000000001,male
4122520_skalby,2007,0.8956799999999999,male
4122520_skalby,2008,0.8943399999999999,male
4122520_skalby,2009,0.8876,male
4122520_skalby,2010,0.9418200000000001,male
4122520_skalby,2011,0.9361700000000001,male
4122520_skalby,2012,0.90559,male
4122520_skalby,2013,0.9052600000000001,male
4122520_skalby,2014,0.90845,male
4122530_carlslund,2000,0.8044399999999999,male
4122530_carlslund,2001,0.78182,male
4122530_carlslund,2002,0.7674,male
4122530_carlslund,2003,0.7530100000000001,male
4122530_carlslund,2004,0.73156,male
4122530_carlslund,2005,0.74468,male
4122530_carlslund,2006,0.7693800000000001,male
4122530_carlslund,2007,0.78505,male
4122530_carlslund,2008,0.8122699999999999,male
4122530_carlslund,2009,0.7698,male
4122530_carlslund,2010,0.7721899999999999,male
4122530_carlslund,2011,0.78084,male
4122530_carlslund,2012,0.7946300000000001,male
4122530_carlslund,2013,0.79346,male
4122530_carlslund,2014,0.80707,male
4122540_brunnby,2000,0.8859100000000001,male
4122540_brunnby,2001,0.85382,male
4122540_brunnby,2002,0.86926,male
4122540_brunnby,2003,0.875,male
4122540_brunnby,2004,0.875,male
4122540_brunnby,2005,0.9025299999999999,male
4122540_brunnby,2006,0.8958299999999999,male
4122540_brunnby,2007,0.92391,male
4122540_brunnby,2008,0.8941600000000001,male
4122540_brunnby,2009,0.8731899999999999,male
4122540_brunnby,2010,0.90074,male
4122540_brunnby,2011,0.91209,male
4122540_brunnby,2012,0.8426600000000001,male
4122540_brunnby,2013,0.8648600000000001,male
4122540_brunnby,2014,0.8479700000000001,male
4122600_vastra_odenslunda,2000,0.8312,male
4122600_vastra_odenslunda,2001,0.83896,male
4122600_vastra_odenslunda,2002,0.85106,male
4122600_vastra_odenslunda,2003,0.8219200000000001,male
4122600_vastra_odenslunda,2004,0.84257,male
4122600_vastra_odenslunda,2005,0.8587899999999999,male
4122600_vastra_odenslunda,2006,0.8196700000000001,male
4122600_vastra_odenslunda,2007,0.8453,male
4122600_vastra_odenslunda,2008,0.81844,male
4122600_vastra_odenslunda,2009,0.81375,male
4122600_vastra_odenslunda,2010,0.8558600000000001,male
4122600_vastra_odenslunda,2011,0.8798799999999999,male
4122600_vastra_odenslunda,2012,0.8825200000000001,male
4122600_vastra_odenslunda,2013,0.8771899999999999,male
4122600_vastra_odenslunda,2014,0.85205,male
4133110_sanda,2000,0.8695700000000001,male
4133110_sanda,2001,0.85714,male
4133110_sanda,2002,1.0,male
4133110_sanda,2003,0.66667,male
4133110_sanda,2004,0.7941199999999999,male
4133110_sanda,2005,0.8214299999999999,male
4133110_sanda,2006,0.8125,male
4133110_sanda,2007,0.8387100000000001,male
4133110_sanda,2008,0.9180299999999999,male
4133110_sanda,2009,0.9166700000000001,male
4133110_sanda,2010,0.91045,male
4133110_sanda,2011,0.91558,male
4133110_sanda,2012,0.9333299999999999,male
4133110_sanda,2013,0.90955,male
4133110_sanda,2014,0.92925,male
4133120_ostra_odenslunda,2000,0.8657299999999999,male
4133120_ostra_odenslunda,2001,0.8916200000000001,male
4133120_ostra_odenslunda,2002,0.87751,male
4133120_ostra_odenslunda,2003,0.86172,male
4133120_ostra_odenslunda,2004,0.84704,male
4133120_ostra_odenslunda,2005,0.8851899999999999,male
4133120_ostra_odenslunda,2006,0.85526,male
4133120_ostra_odenslunda,2007,0.88015,male
4133120_ostra_odenslunda,2008,0.86406,male
4133120_ostra_odenslunda,2009,0.8374799999999999,male
4133120_ostra_odenslunda,2010,0.85687,male
4133120_ostra_odenslunda,2011,0.87403,male
4133120_ostra_odenslunda,2012,0.8729,male
4133120_ostra_odenslunda,2013,0.85529,male
4133120_ostra_odenslunda,2014,0.84926,male
4133200_frestaby,2000,0.8532,male
4133200_frestaby,2001,0.88869,male
4133200_frestaby,2002,0.8890899999999999,male
4133200_frestaby,2003,0.88126,male
4133200_frestaby,2004,0.8878299999999999,male
4133200_frestaby,2005,0.87016,male
4133200_frestaby,2006,0.8899600000000001,male
4133200_frestaby,2007,0.8996200000000001,male
4133200_frestaby,2008,0.88544,male
4133200_frestaby,2009,0.8613299999999999,male
4133200_frestaby,2010,0.8707799999999999,male
4133200_frestaby,2011,0.9010299999999999,male
4133200_frestaby,2012,0.89918,male
4133200_frestaby,2013,0.90264,male
4133200_frestaby,2014,0.9084,male
4133310_vastra_bollstanas,2000,0.88145,male
4133310_vastra_bollstanas,2001,0.87129,male
4133310_vastra_bollstanas,2002,0.87149,male
4133310_vastra_bollstanas,2003,0.86013,male
4133310_vastra_bollstanas,2004,0.85745,male
4133310_vastra_bollstanas,2005,0.8660899999999999,male
4133310_vastra_bollstanas,2006,0.87361,male
4133310_vastra_bollstanas,2007,0.8733299999999999,male
4133310_vastra_bollstanas,2008,0.87955,male
4133310_vastra_bollstanas,2009,0.86449,male
4133310_vastra_bollstanas,2010,0.8818,male
4133310_vastra_bollstanas,2011,0.87097,male
4133310_vastra_bollstanas,2012,0.8958299999999999,male
4133310_vastra_bollstanas,2013,0.88759,male
4133310_vastra_bollstanas,2014,0.8641700000000001,male
4133330_ostra_bollstanas,2000,0.8807799999999999,male
4133330_ostra_bollstanas,2001,0.88659,male
4133330_ostra_bollstanas,2002,0.88292,male
4133330_ostra_bollstanas,2003,0.8731,male
4133330_ostra_bollstanas,2004,0.87703,male
4133330_ostra_bollstanas,2005,0.86439,male
4133330_ostra_bollstanas,2006,0.89292,male
4133330_ostra_bollstanas,2007,0.90279,male
4133330_ostra_bollstanas,2008,0.89054,male
4133330_ostra_bollstanas,2009,0.8841100000000001,male
4133330_ostra_bollstanas,2010,0.89665,male
4133330_ostra_bollstanas,2011,0.87834,male
4133330_ostra_bollstanas,2012,0.8870100000000001,male
4133330_ostra_bollstanas,2013,0.8760600000000001,male
4133330_ostra_bollstanas,2014,0.8812200000000001,male
4133350_sodra_bollstanas,2000,0.9181600000000001,male
4133350_sodra_bollstanas,2001,0.89831,male
4133350_sodra_bollstanas,2002,0.8924200000000001,male
4133350_sodra_bollstanas,2003,0.9073200000000001,male
4133350_sodra_bollstanas,2004,0.90453,male
4133350_sodra_bollstanas,2005,0.8972,male
4133350_sodra_bollstanas,2006,0.8861,male
4133350_sodra_bollstanas,2007,0.90869,male
4133350_sodra_bollstanas,2008,0.9030799999999999,male
4133350_sodra_bollstanas,2009,0.8684200000000001,male
4133350_sodra_bollstanas,2010,0.8909100000000001,male
4133350_sodra_bollstanas,2011,0.89438,male
4133350_sodra_bollstanas,2012,0.8714,male
4133350_sodra_bollstanas,2013,0.8874200000000001,male
4133350_sodra_bollstanas,2014,0.87277,male
