gender,municipality,year,median_income_aged_lt_20,mean_income_aged_lt_20,population_20xx_12_31,higher_education_min_3_years_percent_of_population_aged_25_64,employment_rate_aged_20_64,immigration_surplus_employed_aged_20_64,cumulative_immigration_surplus_employed_aged_20_64,immigration_surplus_min_3_years_of_higher_education_aged_25_64,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64,immigration_surplus,cumulative_immigration_surplus
male,0127_botkyrka,2000,192799,205796,36468,0.11767585300000001,0.7347072440000001,25,25,36,36,-98,-98
male,0127_botkyrka,2001,200839,216244,37065,0.122240923,0.737054357,138,163,22,58,40,-58
male,0127_botkyrka,2002,206408,221576,37611,0.12743195300000001,0.731578947,-12,151,36,94,-73,-131
male,0127_botkyrka,2003,210873,225042,37692,0.132514052,0.7237729409999999,-146,5,9,103,-449,-580
male,0127_botkyrka,2004,213843,229362,37913,0.13549917,0.718800718,-123,-118,-16,87,-259,-839
male,0127_botkyrka,2005,215511,232764,38305,0.138783988,0.7084483709999999,-110,-228,-23,64,-290,-1129
male,0127_botkyrka,2006,220296,237176,38871,0.139865022,0.721614485,-181,-409,-30,34,-386,-1515
male,0127_botkyrka,2007,229783,247087,39695,0.144045977,0.7470571229999999,-79,-488,1,35,-245,-1760
male,0127_botkyrka,2008,237918,254415,40298,0.145235597,0.749714565,-160,-648,-33,2,-325,-2085
male,0127_botkyrka,2009,239302,253914,40951,0.145624492,0.718569132,-133,-781,-58,-56,-324,-2409
male,0127_botkyrka,2010,240000,257124,41755,0.148831215,0.7334096109999999,-4,-785,29,-27,-156,-2565
male,0127_botkyrka,2011,245124,263477,42941,0.151004677,0.746219517,122,-663,9,-18,66,-2499
male,0127_botkyrka,2012,251454,268290,43740,0.151626712,0.7464687940000001,-192,-855,-28,-46,-260,-2759
male,0127_botkyrka,2013,255275,273637,44495,0.15347894,0.750809664,-158,-1013,-17,-63,-288,-3047
male,0127_botkyrka,2014,260950,278351,45155,0.154589372,0.7510748540000001,-192,-1205,25,-38,-300,-3347
male,0162_danderyd,2000,307692,475138,14213,0.503185596,0.811796711,-7,-7,9,9,-86,-86
male,0162_danderyd,2001,321681,497379,14307,0.506890849,0.801108374,-29,-36,13,22,-66,-152
male,0162_danderyd,2002,328776,502881,14434,0.516495551,0.790140152,23,-13,36,58,35,-117
male,0162_danderyd,2003,331371,492397,14408,0.520595603,0.768318562,-110,-123,-44,14,-103,-220
male,0162_danderyd,2004,340752,511298,14526,0.5226095479999999,0.784244857,7,-116,25,39,-2,-222
male,0162_danderyd,2005,348790,533170,14628,0.528449602,0.781872885,-5,-121,26,65,34,-188
male,0162_danderyd,2006,363696,558694,14754,0.53276314,0.805388471,140,19,124,189,171,-17
male,0162_danderyd,2007,380259,597147,14878,0.536229872,0.8163214059999999,-2,17,36,225,3,-14
male,0162_danderyd,2008,396366,616925,14887,0.545915493,0.80897598,-60,-43,30,255,-91,-105
male,0162_danderyd,2009,401735,601031,15011,0.545364332,0.791624365,22,-21,19,274,-4,-109
male,0162_danderyd,2010,404623,626250,15150,0.544596913,0.7994152790000001,12,-9,24,298,45,-64
male,0162_danderyd,2011,413428,636369,15352,0.552605424,0.802038762,31,22,103,401,89,25
male,0162_danderyd,2012,420838,629613,15444,0.556575788,0.801019774,28,50,51,452,58,83
male,0162_danderyd,2013,427858,637575,15600,0.55967946,0.800445379,25,75,32,484,20,103
male,0162_danderyd,2014,433200,657042,15728,0.560614525,0.79700172,-38,37,29,513,21,124
male,0125_ekero,2000,248520,299349,11078,0.19338464100000002,0.8606919679999999,79,79,38,38,85,85
male,0125_ekero,2001,260941,315761,11217,0.19446254100000002,0.861090026,23,102,13,51,45,130
male,0125_ekero,2002,269396,318070,11403,0.20157657699999998,0.8603847309999999,78,180,52,103,78,208
male,0125_ekero,2003,275919,320744,11604,0.203623537,0.8474880379999999,59,239,35,138,76,284
male,0125_ekero,2004,281209,329064,11733,0.205549354,0.8541418359999999,41,280,21,159,24,308
male,0125_ekero,2005,287762,340914,11976,0.206289308,0.8442358459999999,73,353,31,190,117,425
male,0125_ekero,2006,297369,349917,12141,0.21139101899999999,0.856601574,43,396,54,244,47,472
male,0125_ekero,2007,311428,366963,12314,0.21687126199999998,0.860224457,6,402,47,291,44,516
male,0125_ekero,2008,322113,380588,12359,0.220581229,0.865965834,0,402,31,322,-90,426
male,0125_ekero,2009,328253,384707,12503,0.227164416,0.853960396,32,434,53,375,4,430
male,0125_ekero,2010,334449,386951,12680,0.230513308,0.855680507,26,460,40,415,47,477
male,0125_ekero,2011,341176,399900,12860,0.23449795399999998,0.8607594940000001,60,520,42,457,50,527
