municipality,year,median_income_aged_lt_20,mean_income_aged_lt_20,population_20xx_12_31,higher_education_min_3_years_percent_of_population_aged_25_64,employment_rate_aged_20_64,immigration_surplus_employed_aged_20_64,cumulative_immigration_surplus_employed_aged_20_64,immigration_surplus_min_3_years_of_higher_education_aged_25_64,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64,immigration_surplus,cumulative_immigration_surplus
0127_botkyrka,2000,168359,178302,73097,0.12065723099999999,0.706577991,21,21,77,77,-155,-155
0127_botkyrka,2001,177321,187598,74151,0.126633828,0.713384905,156,177,33,110,-75,-230
0127_botkyrka,2002,182065,193271,75216,0.132851517,0.711110635,-58,119,69,179,-156,-386
0127_botkyrka,2003,187225,197802,75432,0.13673258,0.698624535,-396,-277,-32,147,-982,-1368
0127_botkyrka,2004,190746,202470,75830,0.141959015,0.69551937,-235,-512,-25,122,-566,-1934
0127_botkyrka,2005,192903,205612,76592,0.149040181,0.6877823209999999,-299,-811,1,123,-572,-2506
0127_botkyrka,2006,196392,209970,77553,0.152138042,0.696159383,-359,-1170,-85,38,-868,-3374
0127_botkyrka,2007,202939,217313,79031,0.157973244,0.711091178,-164,-1334,2,40,-544,-3918
0127_botkyrka,2008,211112,224703,80055,0.162898026,0.713484773,-340,-1674,-52,-12,-773,-4691
0127_botkyrka,2009,212530,225845,81195,0.164996891,0.6887609840000001,-336,-2010,-122,-134,-714,-5405
0127_botkyrka,2010,213288,228613,82608,0.17025832600000002,0.703396852,-133,-2143,46,-88,-429,-5834
0127_botkyrka,2011,216682,233462,84677,0.17523473899999997,0.712713383,98,-2045,24,-64,-62,-5896
0127_botkyrka,2012,222771,238808,86274,0.17814423899999998,0.715698608,-274,-2319,-6,-70,-439,-6335
0127_botkyrka,2013,228515,244468,87580,0.18224633699999998,0.716341468,-367,-2686,-46,-116,-704,-7039
0127_botkyrka,2014,232413,248857,88901,0.18652151600000003,0.7219292629999999,-330,-3016,28,-88,-572,-7611
0162_danderyd,2000,226315,337194,29570,0.466056394,0.786727855,-17,-17,32,32,-127,-127
0162_danderyd,2001,237871,355445,29632,0.47398727799999996,0.783383869,-92,-109,1,33,-142,-269
0162_danderyd,2002,245370,363399,29755,0.480932345,0.7727604229999999,0,-109,35,68,-8,-277
0162_danderyd,2003,249822,360734,29884,0.48617372,0.7562198179999999,-89,-198,-20,48,-25,-302
0162_danderyd,2004,258531,375070,30100,0.490219966,0.770237072,30,-168,28,76,54,-248
0162_danderyd,2005,264407,391843,30226,0.500575998,0.76943881,-8,-176,53,129,41,-207
0162_danderyd,2006,278629,411447,30492,0.50957211,0.7874170559999999,179,3,218,347,267,60
0162_danderyd,2007,289110,439563,30789,0.517094882,0.7999385370000001,41,44,84,431,73,133
0162_danderyd,2008,302287,455011,30851,0.5259203610000001,0.796443786,-53,-9,43,474,-109,24
0162_danderyd,2009,308912,451106,31150,0.53020869,0.781142082,80,71,93,567,92,116
0162_danderyd,2010,311358,467482,31330,0.535085904,0.7902686640000001,26,97,79,646,45,161
0162_danderyd,2011,317568,476750,31799,0.546600877,0.789999387,74,171,219,865,250,411
0162_danderyd,2012,328014,480439,31960,0.55251079,0.794722121,67,238,89,954,114,525
0162_danderyd,2013,336705,491707,32222,0.5549820010000001,0.7910348979999999,70,308,52,1006,40,565
0162_danderyd,2014,343504,508553,32295,0.5606677520000001,0.789527474,-95,213,47,1053,-45,520
0125_ekero,2000,209507,243681,22266,0.203215902,0.841201392,158,158,86,86,182,182
0125_ekero,2001,219864,256937,22626,0.20627406899999998,0.84207761,72,230,50,136,123,305
0125_ekero,2002,226668,262143,22936,0.215965052,0.8391524920000001,128,358,111,247,115,420
0125_ekero,2003,234306,267590,23311,0.220229158,0.831003717,114,472,75,322,132,552
0125_ekero,2004,241305,276364,23594,0.22656618,0.83994973,93,565,59,381,45,597
0125_ekero,2005,246343,285294,24010,0.23545405100000003,0.833430742,112,677,87,468,182,779
0125_ekero,2006,254122,293451,24301,0.245253897,0.8442160129999999,102,779,129,597,83,862
0125_ekero,2007,265316,307650,24687,0.253326114,0.847906004,42,821,111,708,125,987
0125_ekero,2008,276933,320303,24779,0.261328125,0.8543281420000001,-16,805,86,794,-157,830
0125_ekero,2009,283362,325784,25095,0.271117698,0.83977781,82,887,134,928,39,869
0125_ekero,2010,286323,329236,25410,0.27581373600000003,0.8455987420000001,2,889,77,1005,2,871
0125_ekero,2011,295078,339749,25767,0.283659423,0.8481903959999999,133,1022,106,1111,143,1014
0125_ekero,2012,302349,349129,26160,0.289242844,0.852693192,5,1027,91,1202,115,1129
0125_ekero,2013,309016,355877,26355,0.29258947,0.8544698540000001,-6,1021,74,1276,-30,1099
0125_ekero,2014,315188,366345,26698,0.300866943,0.8536368609999999,63,1084,156,1432,103,1202
0136_haninge,2000,187769,198285,69644,0.109635985,0.7800040979999999,444,444,113,113,401,401
0136_haninge,2001,196728,208306,70432,0.11502247199999999,0.7851700340000001,292,736,99,212,220,621
