basomrade,year,mean_income_aged_lt_20,gender
4111110_norra_runby,2000,205826.34,both
4111110_norra_runby,2001,215563.35,both
4111110_norra_runby,2002,220216.8,both
4111110_norra_runby,2003,221818.57,both
4111110_norra_runby,2004,225927.85,both
4111110_norra_runby,2005,232496.69,both
4111110_norra_runby,2006,237929.34,both
4111110_norra_runby,2007,250344.13,both
4111110_norra_runby,2008,260920.73,both
4111110_norra_runby,2009,260819.6,both
4111110_norra_runby,2010,261600.51,both
4111110_norra_runby,2011,267340.22,both
4111110_norra_runby,2012,277171.62,both
4111110_norra_runby,2013,280566.91,both
4111110_norra_runby,2014,283932.05,both
4111120_sodra_runby,2000,218779.22,both
4111120_sodra_runby,2001,224900.05,both
4111120_sodra_runby,2002,232411.03,both
4111120_sodra_runby,2003,236057.16,both
4111120_sodra_runby,2004,242420.34,both
4111120_sodra_runby,2005,245321.23,both
4111120_sodra_runby,2006,249596.91,both
4111120_sodra_runby,2007,260005.42,both
4111120_sodra_runby,2008,271367.22,both
4111120_sodra_runby,2009,274465.83,both
4111120_sodra_runby,2010,265624.76,both
4111120_sodra_runby,2011,275997.85,both
4111120_sodra_runby,2012,286405.57,both
4111120_sodra_runby,2013,287647.24,both
4111120_sodra_runby,2014,296454.32,both
4111130_runby_lovsta,2000,231183.78,both
4111130_runby_lovsta,2001,234784.58,both
4111130_runby_lovsta,2002,240150.21,both
4111130_runby_lovsta,2003,249672.87,both
4111130_runby_lovsta,2004,253392.23,both
4111130_runby_lovsta,2005,261373.69,both
4111130_runby_lovsta,2006,262129.09,both
4111130_runby_lovsta,2007,272730.95,both
4111130_runby_lovsta,2008,280652.94,both
4111130_runby_lovsta,2009,287212.38,both
4111130_runby_lovsta,2010,291136.88,both
4111130_runby_lovsta,2011,295691.5,both
4111130_runby_lovsta,2012,300440.06,both
4111130_runby_lovsta,2013,301275.37,both
4111130_runby_lovsta,2014,313293.52,both
4111140_prastgardsmarken,2000,209856.63,both
4111140_prastgardsmarken,2001,222245.22,both
4111140_prastgardsmarken,2002,227457.41,both
4111140_prastgardsmarken,2003,229637.22,both
4111140_prastgardsmarken,2004,231529.32,both
4111140_prastgardsmarken,2005,230787.62,both
4111140_prastgardsmarken,2006,239988.26,both
4111140_prastgardsmarken,2007,251404.86,both
4111140_prastgardsmarken,2008,265474.77,both
4111140_prastgardsmarken,2009,266641.06,both
4111140_prastgardsmarken,2010,268158.0,both
4111140_prastgardsmarken,2011,271879.53,both
4111140_prastgardsmarken,2012,276671.41,both
4111140_prastgardsmarken,2013,279573.73,both
4111140_prastgardsmarken,2014,285077.34,both
4111900_eds_glesbygd,2000,236962.12,both
4111900_eds_glesbygd,2001,253066.84,both
4111900_eds_glesbygd,2002,257048.51,both
4111900_eds_glesbygd,2003,261664.8,both
4111900_eds_glesbygd,2004,259006.68,both
4111900_eds_glesbygd,2005,274449.84,both
4111900_eds_glesbygd,2006,282479.29,both
4111900_eds_glesbygd,2007,290986.61,both
4111900_eds_glesbygd,2008,286663.61,both
4111900_eds_glesbygd,2009,293479.17,both
4111900_eds_glesbygd,2010,308761.9,both
4111900_eds_glesbygd,2011,318176.27,both
4111900_eds_glesbygd,2012,366953.42,both
4111900_eds_glesbygd,2013,349516.47,both
4111900_eds_glesbygd,2014,381968.42,both
4122100_lowenstromska_sjukhuset,2000,175919.22,both
4122100_lowenstromska_sjukhuset,2001,185900.53,both
4122100_lowenstromska_sjukhuset,2002,192802.89,both
4122100_lowenstromska_sjukhuset,2003,199491.97,both
4122100_lowenstromska_sjukhuset,2004,195568.14,both
4122100_lowenstromska_sjukhuset,2005,199052.09,both
4122100_lowenstromska_sjukhuset,2006,201888.47,both
4122100_lowenstromska_sjukhuset,2007,202273.75,both
4122100_lowenstromska_sjukhuset,2008,207935.78,both
4122100_lowenstromska_sjukhuset,2009,201128.34,both
4122100_lowenstromska_sjukhuset,2010,202400.54,both
4122100_lowenstromska_sjukhuset,2011,207973.88,both
4122100_lowenstromska_sjukhuset,2012,223689.43,both
4122100_lowenstromska_sjukhuset,2013,212199.16,both
4122100_lowenstromska_sjukhuset,2014,213306.85,both
4122210_norra_vilunda,2000,239035.01,both
4122210_norra_vilunda,2001,246062.45,both
