basomrade,year,population_20xx_12_31,gender
4111110_norra_runby,2000,2933,both
4111110_norra_runby,2001,2955,both
4111110_norra_runby,2002,2975,both
4111110_norra_runby,2003,2955,both
4111110_norra_runby,2004,2970,both
4111110_norra_runby,2005,2891,both
4111110_norra_runby,2006,2881,both
4111110_norra_runby,2007,2864,both
4111110_norra_runby,2008,2801,both
4111110_norra_runby,2009,2892,both
4111110_norra_runby,2010,2970,both
4111110_norra_runby,2011,3039,both
4111110_norra_runby,2012,3078,both
4111110_norra_runby,2013,3182,both
4111110_norra_runby,2014,3225,both
4111120_sodra_runby,2000,414,both
4111120_sodra_runby,2001,411,both
4111120_sodra_runby,2002,409,both
4111120_sodra_runby,2003,412,both
4111120_sodra_runby,2004,411,both
4111120_sodra_runby,2005,403,both
4111120_sodra_runby,2006,398,both
4111120_sodra_runby,2007,384,both
4111120_sodra_runby,2008,411,both
4111120_sodra_runby,2009,414,both
4111120_sodra_runby,2010,416,both
4111120_sodra_runby,2011,426,both
4111120_sodra_runby,2012,430,both
4111120_sodra_runby,2013,420,both
4111120_sodra_runby,2014,412,both
4111130_runby_lovsta,2000,1225,both
4111130_runby_lovsta,2001,1181,both
4111130_runby_lovsta,2002,1182,both
4111130_runby_lovsta,2003,1147,both
4111130_runby_lovsta,2004,1125,both
4111130_runby_lovsta,2005,1113,both
4111130_runby_lovsta,2006,1117,both
4111130_runby_lovsta,2007,1112,both
4111130_runby_lovsta,2008,1095,both
4111130_runby_lovsta,2009,1095,both
4111130_runby_lovsta,2010,1090,both
4111130_runby_lovsta,2011,1118,both
4111130_runby_lovsta,2012,1102,both
4111130_runby_lovsta,2013,1114,both
4111130_runby_lovsta,2014,1105,both
4111140_prastgardsmarken,2000,1451,both
4111140_prastgardsmarken,2001,1415,both
4111140_prastgardsmarken,2002,1401,both
4111140_prastgardsmarken,2003,1395,both
4111140_prastgardsmarken,2004,1473,both
4111140_prastgardsmarken,2005,1417,both
4111140_prastgardsmarken,2006,1406,both
4111140_prastgardsmarken,2007,1415,both
4111140_prastgardsmarken,2008,1415,both
4111140_prastgardsmarken,2009,1416,both
4111140_prastgardsmarken,2010,1403,both
4111140_prastgardsmarken,2011,1424,both
4111140_prastgardsmarken,2012,1464,both
4111140_prastgardsmarken,2013,1463,both
4111140_prastgardsmarken,2014,1478,both
4111900_eds_glesbygd,2000,448,both
4111900_eds_glesbygd,2001,457,both
4111900_eds_glesbygd,2002,460,both
4111900_eds_glesbygd,2003,438,both
4111900_eds_glesbygd,2004,438,both
4111900_eds_glesbygd,2005,445,both
4111900_eds_glesbygd,2006,433,both
4111900_eds_glesbygd,2007,437,both
4111900_eds_glesbygd,2008,456,both
4111900_eds_glesbygd,2009,456,both
4111900_eds_glesbygd,2010,467,both
4111900_eds_glesbygd,2011,478,both
4111900_eds_glesbygd,2012,470,both
4111900_eds_glesbygd,2013,484,both
4111900_eds_glesbygd,2014,487,both
4122100_lowenstromska_sjukhuset,2000,529,both
4122100_lowenstromska_sjukhuset,2001,527,both
4122100_lowenstromska_sjukhuset,2002,542,both
4122100_lowenstromska_sjukhuset,2003,558,both
4122100_lowenstromska_sjukhuset,2004,535,both
4122100_lowenstromska_sjukhuset,2005,512,both
4122100_lowenstromska_sjukhuset,2006,507,both
4122100_lowenstromska_sjukhuset,2007,518,both
4122100_lowenstromska_sjukhuset,2008,547,both
4122100_lowenstromska_sjukhuset,2009,535,both
4122100_lowenstromska_sjukhuset,2010,523,both
4122100_lowenstromska_sjukhuset,2011,557,both
4122100_lowenstromska_sjukhuset,2012,561,both
4122100_lowenstromska_sjukhuset,2013,590,both
4122100_lowenstromska_sjukhuset,2014,629,both
4122210_norra_vilunda,2000,1035,both
4122210_norra_vilunda,2001,1024,both
4122210_norra_vilunda,2002,1019,both
4122210_norra_vilunda,2003,1011,both
4122210_norra_vilunda,2004,1011,both
4122210_norra_vilunda,2005,1012,both
4122210_norra_vilunda,2006,1015,both
4122210_norra_vilunda,2007,1012,both
4122210_norra_vilunda,2008,1006,both
4122210_norra_vilunda,2009,1027,both
4122210_norra_vilunda,2010,1025,both
4122210_norra_vilunda,2011,1017,both
4122210_norra_vilunda,2012,1016,both
4122210_norra_vilunda,2013,1053,both
4122210_norra_vilunda,2014,1034,both
4122230_apoteksskogen,2000,2482,both
4122230_apoteksskogen,2001,2512,both
4122230_apoteksskogen,2002,2450,both
4122230_apoteksskogen,2003,2398,both
4122230_apoteksskogen,2004,2434,both
4122230_apoteksskogen,2005,2390,both
4122230_apoteksskogen,2006,2387,both
4122230_apoteksskogen,2007,2375,both
4122230_apoteksskogen,2008,2383,both
4122230_apoteksskogen,2009,2397,both
4122230_apoteksskogen,2010,2324,both
4122230_apoteksskogen,2011,2455,both
4122230_apoteksskogen,2012,2466,both
4122230_apoteksskogen,2013,2550,both
4122230_apoteksskogen,2014,2567,both
4122240_vasbyskogen,2000,2127,both
4122240_vasbyskogen,2001,2141,both
4122240_vasbyskogen,2002,2131,both
4122240_vasbyskogen,2003,2158,both
4122240_vasbyskogen,2004,2091,both
4122240_vasbyskogen,2005,2093,both
4122240_vasbyskogen,2006,2078,both
4122240_vasbyskogen,2007,2054,both
4122240_vasbyskogen,2008,2045,both
4122240_vasbyskogen,2009,2093,both
4122240_vasbyskogen,2010,2156,both
4122240_vasbyskogen,2011,2200,both
4122240_vasbyskogen,2012,2193,both
4122240_vasbyskogen,2013,2267,both
4122240_vasbyskogen,2014,2290,both
4122310_korpkulla,2000,3052,both
4122310_korpkulla,2001,3030,both
4122310_korpkulla,2002,3037,both
4122310_korpkulla,2003,3131,both
4122310_korpkulla,2004,3137,both
4122310_korpkulla,2005,3268,both
4122310_korpkulla,2006,3392,both
4122310_korpkulla,2007,3384,both
4122310_korpkulla,2008,3482,both
4122310_korpkulla,2009,3448,both
4122310_korpkulla,2010,3597,both
4122310_korpkulla,2011,3783,both
4122310_korpkulla,2012,3778,both
4122310_korpkulla,2013,3767,both
4122310_korpkulla,2014,3788,both
4122340_vilunda,2000,2014,both
4122340_vilunda,2001,2035,both
4122340_vilunda,2002,1995,both
4122340_vilunda,2003,1969,both
4122340_vilunda,2004,1952,both
4122340_vilunda,2005,1924,both
4122340_vilunda,2006,1872,both
4122340_vilunda,2007,1885,both
4122340_vilunda,2008,1843,both
4122340_vilunda,2009,1811,both
4122340_vilunda,2010,1881,both
4122340_vilunda,2011,1880,both
4122340_vilunda,2012,1916,both
4122340_vilunda,2013,1924,both
4122340_vilunda,2014,1826,both
4122420_norra_smedby,2000,3710,both
4122420_norra_smedby,2001,3701,both
4122420_norra_smedby,2002,3656,both
4122420_norra_smedby,2003,3608,both
4122420_norra_smedby,2004,3558,both
4122420_norra_smedby,2005,3526,both
4122420_norra_smedby,2006,3449,both
4122420_norra_smedby,2007,3470,both
4122420_norra_smedby,2008,3483,both
4122420_norra_smedby,2009,3533,both
4122420_norra_smedby,2010,3621,both
4122420_norra_smedby,2011,3679,both
4122420_norra_smedby,2012,3754,both
4122420_norra_smedby,2013,3864,both
4122420_norra_smedby,2014,3957,both
4122430_sodra_smedby,2000,827,both
4122430_sodra_smedby,2001,813,both
4122430_sodra_smedby,2002,808,both
4122430_sodra_smedby,2003,791,both
4122430_sodra_smedby,2004,795,both
4122430_sodra_smedby,2005,774,both
4122430_sodra_smedby,2006,758,both
4122430_sodra_smedby,2007,754,both
4122430_sodra_smedby,2008,757,both
4122430_sodra_smedby,2009,745,both
4122430_sodra_smedby,2010,728,both
4122430_sodra_smedby,2011,711,both
4122430_sodra_smedby,2012,690,both
4122430_sodra_smedby,2013,706,both
4122430_sodra_smedby,2014,705,both
4122520_skalby,2000,1128,both
4122520_skalby,2001,1128,both
4122520_skalby,2002,1126,both
4122520_skalby,2003,1125,both
4122520_skalby,2004,1120,both
4122520_skalby,2005,1128,both
4122520_skalby,2006,1128,both
4122520_skalby,2007,1132,both
4122520_skalby,2008,1109,both
4122520_skalby,2009,1083,both
4122520_skalby,2010,1152,both
4122520_skalby,2011,1173,both
4122520_skalby,2012,1177,both
4122520_skalby,2013,1182,both
4122520_skalby,2014,1183,both
4122530_carlslund,2000,1433,both
4122530_carlslund,2001,1429,both
4122530_carlslund,2002,1410,both
4122530_carlslund,2003,1406,both
4122530_carlslund,2004,1360,both
4122530_carlslund,2005,1337,both
4122530_carlslund,2006,1453,both
4122530_carlslund,2007,1495,both
4122530_carlslund,2008,1515,both
4122530_carlslund,2009,1531,both
4122530_carlslund,2010,1712,both
4122530_carlslund,2011,1803,both
4122530_carlslund,2012,1859,both
4122530_carlslund,2013,1986,both
4122530_carlslund,2014,2061,both
4122540_brunnby,2000,936,both
4122540_brunnby,2001,956,both
4122540_brunnby,2002,954,both
4122540_brunnby,2003,959,both
4122540_brunnby,2004,975,both
4122540_brunnby,2005,986,both
4122540_brunnby,2006,1020,both
4122540_brunnby,2007,1007,both
4122540_brunnby,2008,1035,both
4122540_brunnby,2009,1041,both
4122540_brunnby,2010,1027,both
4122540_brunnby,2011,1021,both
4122540_brunnby,2012,1023,both
4122540_brunnby,2013,1022,both
4122540_brunnby,2014,998,both
4122600_vastra_odenslunda,2000,1273,both
4122600_vastra_odenslunda,2001,1279,both
4122600_vastra_odenslunda,2002,1270,both
4122600_vastra_odenslunda,2003,1264,both
4122600_vastra_odenslunda,2004,1276,both
4122600_vastra_odenslunda,2005,1277,both
4122600_vastra_odenslunda,2006,1305,both
4122600_vastra_odenslunda,2007,1334,both
4122600_vastra_odenslunda,2008,1337,both
4122600_vastra_odenslunda,2009,1341,both
4122600_vastra_odenslunda,2010,1330,both
4122600_vastra_odenslunda,2011,1328,both
4122600_vastra_odenslunda,2012,1341,both
4122600_vastra_odenslunda,2013,1344,both
4122600_vastra_odenslunda,2014,1368,both
4133110_sanda,2000,34,both
4133110_sanda,2001,35,both
4133110_sanda,2002,32,both
4133110_sanda,2003,20,both
4133110_sanda,2004,65,both
4133110_sanda,2005,51,both
4133110_sanda,2006,55,both
4133110_sanda,2007,53,both
4133110_sanda,2008,159,both
4133110_sanda,2009,371,both
4133110_sanda,2010,438,both
4133110_sanda,2011,510,both
4133110_sanda,2012,619,both
4133110_sanda,2013,698,both
4133110_sanda,2014,750,both
4133120_ostra_odenslunda,2000,1720,both
4133120_ostra_odenslunda,2001,1723,both
4133120_ostra_odenslunda,2002,1713,both
4133120_ostra_odenslunda,2003,1724,both
4133120_ostra_odenslunda,2004,1790,both
4133120_ostra_odenslunda,2005,1875,both
4133120_ostra_odenslunda,2006,1846,both
4133120_ostra_odenslunda,2007,1865,both
4133120_ostra_odenslunda,2008,1872,both
4133120_ostra_odenslunda,2009,1886,both
4133120_ostra_odenslunda,2010,1866,both
4133120_ostra_odenslunda,2011,1886,both
