municipality,year,population_20xx_12_31,median_income_aged_lt_20_male,median_income_aged_lt_20_female,median_income_aged_lt_20,mean_income_aged_lt_20_male,mean_income_aged_lt_20_female,mean_income_aged_lt_20,population_20xx_12_31_male,population_20xx_12_31_female,higher_education_min_3_years_percent_of_population_aged_25_64_male,higher_education_min_3_years_percent_of_population_aged_25_64_female,higher_education_min_3_years_percent_of_population_aged_25_64,employment_rate_aged_20_64_male,employment_rate_aged_20_64_female,employment_rate_aged_20_64,immigration_surplus_employed_aged_20_64_male,immigration_surplus_employed_aged_20_64_female,immigration_surplus_employed_aged_20_64,cumulative_immigration_surplus_employed_aged_20_64_male,cumulative_immigration_surplus_employed_aged_20_64_female,cumulative_immigration_surplus_employed_aged_20_64,immigration_surplus_min_3_years_of_higher_education_aged_25_64_male,immigration_surplus_min_3_years_of_higher_education_aged_25_64_female,immigration_surplus_min_3_years_of_higher_education_aged_25_64,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_male,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_female,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64,immigration_surplus_male,immigration_surplus_female,immigration_surplus,cumulative_immigration_surplus_male,cumulative_immigration_surplus_female,cumulative_immigration_surplus
0127_botkyrka,2000,73097,192799,150381,168359,205796,151312,178302,36468,36629,0.117675853,0.123705149,0.120657231,0.734707244,0.677952546,0.706577991,25,-4,21,25,-4,21,36,41,77,36,41,77,-98,-57,-155,-98,-57,-155
0127_botkyrka,2001,74151,200839,157371,177321,216244,159377,187598,37065,37086,0.122240923,0.131153218,0.126633828,0.737054357,0.689229422,0.713384905,138,18,156,163,14,177,22,11,33,58,52,110,40,-115,-75,-58,-172,-230
0127_botkyrka,2002,75216,206408,163667,182065,221576,165378,193271,37611,37605,0.127431953,0.138430054,0.132851517,0.731578947,0.690232921,0.711110635,-12,-46,-58,151,-32,119,36,33,69,94,85,179,-73,-83,-156,-131,-255,-386
0127_botkyrka,2003,75432,210873,168334,187225,225042,170986,197802,37692,37740,0.132514052,0.141047503,0.13673258,0.723772941,0.673036001,0.698624535,-146,-250,-396,5,-282,-277,9,-41,-32,103,44,147,-449,-533,-982,-580,-788,-1368
0127_botkyrka,2004,75830,213843,171853,190746,229362,176038,202470,37913,37917,0.13549917,0.148574482,0.141959015,0.718800718,0.671895991,0.69551937,-123,-112,-235,-118,-394,-512,-16,-9,-25,87,35,122,-259,-307,-566,-839,-1095,-1934
0127_botkyrka,2005,76592,215511,175017,192903,232764,178877,205612,38305,38287,0.138783988,0.159510385,0.149040181,0.708448371,0.666781768,0.687782321,-110,-189,-299,-228,-583,-811,-23,24,1,64,59,123,-290,-282,-572,-1129,-1377,-2506
0127_botkyrka,2006,77553,220296,177069,196392,237176,183111,209970,38871,38682,0.139865022,0.164732292,0.152138042,0.721614485,0.670174988,0.696159383,-181,-178,-359,-409,-761,-1170,-30,-55,-85,34,4,38,-386,-482,-868,-1515,-1859,-3374
0127_botkyrka,2007,79031,229783,180508,202939,247087,187830,217313,39695,39336,0.144045977,0.172291548,0.157973244,0.747057123,0.674393122,0.711091178,-79,-85,-164,-488,-846,-1334,1,1,2,35,5,40,-245,-299,-544,-1760,-2158,-3918
0127_botkyrka,2008,80055,237918,186514,211112,254415,195061,224703,40298,39757,0.145235597,0.181166258,0.162898026,0.749714565,0.676171678,0.713484773,-160,-180,-340,-648,-1026,-1674,-33,-19,-52,2,-14,-12,-325,-448,-773,-2085,-2606,-4691
0127_botkyrka,2009,81195,239302,188520,212530,253914,197658,225845,40951,40244,0.145624492,0.185164293,0.164996891,0.718569132,0.657783718,0.688760984,-133,-203,-336,-781,-1229,-2010,-58,-64,-122,-56,-78,-134,-324,-390,-714,-2409,-2996,-5405
